cfg_id,day,ok,aco_pnl,total_pnl,cfg_json,make_offset,min_take_edge,maker_mode,make_portion,soft_cap,skew_strength,ema_alpha
7,0,True,398.0,398.0,"{""ema_alpha"": 0.25, ""make_offset"": -1, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 3, ""skew_strength"": 0, ""soft_cap"": 60}",-1,3,join,0.8,60,0,0.25
6,-1,True,2402.0,2402.0,"{""ema_alpha"": 0.25, ""make_offset"": -1, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 2, ""skew_strength"": 0, ""soft_cap"": 60}",-1,2,join,0.8,60,0,0.25
7,-1,True,529.0,529.0,"{""ema_alpha"": 0.25, ""make_offset"": -1, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 3, ""skew_strength"": 0, ""soft_cap"": 60}",-1,3,join,0.8,60,0,0.25
8,-2,True,19272.0,19272.0,"{""ema_alpha"": 0.25, ""make_offset"": 0, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 0, ""skew_strength"": 0, ""soft_cap"": 60}",0,0,join,0.8,60,0,0.25
8,-1,True,20979.0,20979.0,"{""ema_alpha"": 0.25, ""make_offset"": 0, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 0, ""skew_strength"": 0, ""soft_cap"": 60}",0,0,join,0.8,60,0,0.25
9,-2,True,19980.0,19980.0,"{""ema_alpha"": 0.25, ""make_offset"": 0, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 1, ""skew_strength"": 0, ""soft_cap"": 60}",0,1,join,0.8,60,0,0.25
8,0,True,19754.0,19754.0,"{""ema_alpha"": 0.25, ""make_offset"": 0, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 0, ""skew_strength"": 0, ""soft_cap"": 60}",0,0,join,0.8,60,0,0.25
9,0,True,20062.0,20062.0,"{""ema_alpha"": 0.25, ""make_offset"": 0, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 1, ""skew_strength"": 0, ""soft_cap"": 60}",0,1,join,0.8,60,0,0.25
9,-1,True,21400.0,21400.0,"{""ema_alpha"": 0.25, ""make_offset"": 0, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 1, ""skew_strength"": 0, ""soft_cap"": 60}",0,1,join,0.8,60,0,0.25
10,-2,True,19414.0,19414.0,"{""ema_alpha"": 0.25, ""make_offset"": 0, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 2, ""skew_strength"": 0, ""soft_cap"": 60}",0,2,join,0.8,60,0,0.25
