cfg_id,day,ok,ipr_pnl,total_pnl,cfg_json,maker_mode,make_offset,min_take_edge,make_portion,soft_cap,skew_strength,bid_frac,ask_frac,pressure_mode,quote_bias_ticks,size_haircut,spread_threshold,position_target,long_take_edge
2,0,True,20508.0,20508.0,"{""ask_frac"": 0.3, ""bid_frac"": 0.7, ""long_take_edge"": null, ""make_offset"": 1, ""make_portion"": 0.9, ""maker_mode"": ""improve_1"", ""min_take_edge"": 1, ""position_target"": 0, ""pressure_mode"": ""long_bias"", ""quote_bias_ticks"": 0, ""size_haircut"": 1.0, ""skew_strength"": 0, ""soft_cap"": 75, ""spread_threshold"": 3}",improve_1,1,1,0.9,75,0,0.7,0.3,long_bias,0,1.0,3,0,
3,-1,True,40606.0,40606.0,"{""ask_frac"": 0.3, ""bid_frac"": 0.7, ""long_take_edge"": null, ""make_offset"": 2, ""make_portion"": 0.9, ""maker_mode"": ""improve_1"", ""min_take_edge"": 1, ""position_target"": 0, ""pressure_mode"": ""long_bias"", ""quote_bias_ticks"": 0, ""size_haircut"": 1.0, ""skew_strength"": 0, ""soft_cap"": 75, ""spread_threshold"": 3}",improve_1,2,1,0.9,75,0,0.7,0.3,long_bias,0,1.0,3,0,
5,-2,True,-35944.0,-35944.0,"{""ask_frac"": 0.3, ""bid_frac"": 0.7, ""long_take_edge"": null, ""make_offset"": 0, ""make_portion"": 0.9, ""maker_mode"": ""improve_1"", ""min_take_edge"": 1, ""position_target"": 0, ""pressure_mode"": ""long_bias"", ""quote_bias_ticks"": -1, ""size_haircut"": 1.0, ""skew_strength"": 0, ""soft_cap"": 75, ""spread_threshold"": 3}",improve_1,0,1,0.9,75,0,0.7,0.3,long_bias,-1,1.0,3,0,
4,-2,True,49018.0,49018.0,"{""ask_frac"": 0.3, ""bid_frac"": 0.7, ""long_take_edge"": null, ""make_offset"": 3, ""make_portion"": 0.9, ""maker_mode"": ""improve_1"", ""min_take_edge"": 1, ""position_target"": 0, ""pressure_mode"": ""long_bias"", ""quote_bias_ticks"": 0, ""size_haircut"": 1.0, ""skew_strength"": 0, ""soft_cap"": 75, ""spread_threshold"": 3}",improve_1,3,1,0.9,75,0,0.7,0.3,long_bias,0,1.0,3,0,
4,0,True,43324.0,43324.0,"{""ask_frac"": 0.3, ""bid_frac"": 0.7, ""long_take_edge"": null, ""make_offset"": 3, ""make_portion"": 0.9, ""maker_mode"": ""improve_1"", ""min_take_edge"": 1, ""position_target"": 0, ""pressure_mode"": ""long_bias"", ""quote_bias_ticks"": 0, ""size_haircut"": 1.0, ""skew_strength"": 0, ""soft_cap"": 75, ""spread_threshold"": 3}",improve_1,3,1,0.9,75,0,0.7,0.3,long_bias,0,1.0,3,0,
5,-1,True,-36037.0,-36037.0,"{""ask_frac"": 0.3, ""bid_frac"": 0.7, ""long_take_edge"": null, ""make_offset"": 0, ""make_portion"": 0.9, ""maker_mode"": ""improve_1"", ""min_take_edge"": 1, ""position_target"": 0, ""pressure_mode"": ""long_bias"", ""quote_bias_ticks"": -1, ""size_haircut"": 1.0, ""skew_strength"": 0, ""soft_cap"": 75, ""spread_threshold"": 3}",improve_1,0,1,0.9,75,0,0.7,0.3,long_bias,-1,1.0,3,0,
5,0,True,-35625.0,-35625.0,"{""ask_frac"": 0.3, ""bid_frac"": 0.7, ""long_take_edge"": null, ""make_offset"": 0, ""make_portion"": 0.9, ""maker_mode"": ""improve_1"", ""min_take_edge"": 1, ""position_target"": 0, ""pressure_mode"": ""long_bias"", ""quote_bias_ticks"": -1, ""size_haircut"": 1.0, ""skew_strength"": 0, ""soft_cap"": 75, ""spread_threshold"": 3}",improve_1,0,1,0.9,75,0,0.7,0.3,long_bias,-1,1.0,3,0,
4,-1,True,41837.0,41837.0,"{""ask_frac"": 0.3, ""bid_frac"": 0.7, ""long_take_edge"": null, ""make_offset"": 3, ""make_portion"": 0.9, ""maker_mode"": ""improve_1"", ""min_take_edge"": 1, ""position_target"": 0, ""pressure_mode"": ""long_bias"", ""quote_bias_ticks"": 0, ""size_haircut"": 1.0, ""skew_strength"": 0, ""soft_cap"": 75, ""spread_threshold"": 3}",improve_1,3,1,0.9,75,0,0.7,0.3,long_bias,0,1.0,3,0,
7,-2,True,73844.0,73844.0,"{""ask_frac"": 0.3, ""bid_frac"": 0.7, ""long_take_edge"": null, ""make_offset"": 0, ""make_portion"": 0.9, ""maker_mode"": ""improve_1"", ""min_take_edge"": 1, ""position_target"": 0, ""pressure_mode"": ""long_bias"", ""quote_bias_ticks"": 2, ""size_haircut"": 1.0, ""skew_strength"": 0, ""soft_cap"": 75, ""spread_threshold"": 3}",improve_1,0,1,0.9,75,0,0.7,0.3,long_bias,2,1.0,3,0,
6,-1,True,69334.0,69334.0,"{""ask_frac"": 0.3, ""bid_frac"": 0.7, ""long_take_edge"": null, ""make_offset"": 0, ""make_portion"": 0.9, ""maker_mode"": ""improve_1"", ""min_take_edge"": 1, ""position_target"": 0, ""pressure_mode"": ""long_bias"", ""quote_bias_ticks"": 1, ""size_haircut"": 1.0, ""skew_strength"": 0, ""soft_cap"": 75, ""spread_threshold"": 3}",improve_1,0,1,0.9,75,0,0.7,0.3,long_bias,1,1.0,3,0,
